@ZaizuZer,twitter.com/ZaizuZer,"Me encantan las reflexiones de@JulianIantzi1tan acertadas colocando los puntos sobre los íes, como se te hechaba de menos. Betikulez txapo. Oberena zara.#COnquis4ETB",twitter.com/ZaizuZer/status/1889809719969325440#m
@AmayaAmaia,twitter.com/AmayaAmaia,Pati grande sin darse por vencida#conquis4ETB,twitter.com/AmayaAmaia/status/1889809518718230939#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,"#Conquis4ETBYo no entiendo q un tipo q, abandona a la primera d cambio y deje a jente sin poder ir.
S le invite al plató!!!!",twitter.com/KontxiZulu81651/status/1889807833765679246#m
@AmayaAmaia,twitter.com/AmayaAmaia,Que hace el desertor en plató???#conquis4ETB,twitter.com/AmayaAmaia/status/1889807724147515724#m
@marconada001,twitter.com/marconada001,Yo creo que no hubo nadie en casa que no celebrase ver a Pati coger el banderín como si fuese la final de copa del Athletic#Conquis4ETB,twitter.com/marconada001/status/1889807687518658630#m
@ZaizuZer,twitter.com/ZaizuZer,Pues por culpa de Santa la victoria de Aratz se vió descolorida.#COnquis4ETB,twitter.com/ZaizuZer/status/1889807602734997643#m
@geta_gay,twitter.com/geta_gay,"#Conquis4ETBpero en otras ocasiones siempre ha ido el nominado directo con su ayudante, y el escogido por el rival con el otro nominado.",twitter.com/geta_gay/status/1889807531964584019#m
@Tyshha,twitter.com/Tyshha,"#COnquis4ETBtotalmente de acuerdo con Eneko, Santa mal como capi y Aratz un cobarde 🤷🏼‍♀️",twitter.com/Tyshha/status/1889807462473277653#m
@ZaizuZer,twitter.com/ZaizuZer,"Por Aratz bien. Porque tiene que salvar su cabeza, pero Santa tuvo una reacción muy fea al ganar. Se le vió el plumero que las tías a este le sobran. Y no actuó como capitán. Y yo soy ellas y le nomino hasta la saciedad pa los duelos.#COnquis4ETB",twitter.com/ZaizuZer/status/1889806873135817027#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBHippo tu ayudante poco conveniente!!?!,twitter.com/KontxiZulu81651/status/1889806416569078180#m
@AmayaAmaia,twitter.com/AmayaAmaia,Me quito el sombrero con la manera de actuar de Patri. Yo ya daba el duelo por perdido#conquis4ETB,twitter.com/AmayaAmaia/status/1889805964095922683#m
N/A,N/A,N/A,N/A
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBEso da gusto cuando ves q lloran por ti!!!!! Q no siempre s ve!!!,twitter.com/KontxiZulu81651/status/1889805766594535456#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBSeguro q tu hija está orgullosa!!!!!!! Porque intentar lo intentaste!!!,twitter.com/KontxiZulu81651/status/1889805314490507585#m
@jonmikel56,twitter.com/jonmikel56,como no ganen los niños el laberinto ya esq se derrumban#Conquis4ETB,twitter.com/jonmikel56/status/1889788683726762048#m
@jonmikel56,twitter.com/jonmikel56,dios el laberinto q nervios🫠#Conquis4ETB,twitter.com/jonmikel56/status/1889788367669191162#m
@jonmikel56,twitter.com/jonmikel56,"Huido se va del conquis y Elazar se queda, Elazar todos los días con absolutamente cualquier compañero:#Conquis4ETB",twitter.com/jonmikel56/status/1889788036319265202#m
@jonmikel56,twitter.com/jonmikel56,"Yo entiendo a Santa sinceramente creo que Aratz aunque a veces sea un poco quejika es un pilar fundamental y como Aratz se vaya los amarillos se caen le necesitan y a Pati también pero no tanto, aúpa amarillos q patxi no os jdoa la piña q tenéis💛#Conquis4ETB",twitter.com/jonmikel56/status/1889787630142849069#m
@jonmikel56,twitter.com/jonmikel56,"Q pereza dan los prepotentes como Jime… con lo majo q es Allen y el tío todo el rato peleando con el
El azar y félix los más mayores pero parece lo contrario… enfin#Conquis4ETB",twitter.com/jonmikel56/status/1889786462465298471#m
@jonmikel56,twitter.com/jonmikel56,"#Conquis4ETBPorfavor q monada chivite sus compañeros matándose y él sonriendo sin parar me muero 
El siempre:",twitter.com/jonmikel56/status/1889785921815318920#m
@jonmikel56,twitter.com/jonmikel56,#Conquis4ETBPorfavor q alguien vaya y le dé un buen abrazo a ekhi,twitter.com/jonmikel56/status/1889784235428344030#m
@jonmikel56,twitter.com/jonmikel56,#Conquis4ETBVaya penika me dan los amarillos vaya potxolada son! Vaya jabata pati se ha esforzado hasta el final,twitter.com/jonmikel56/status/1889783948416356696#m
@anezarandona,twitter.com/anezarandona,"Yo no daba un duro por ella. 
Estan cansados, sin dormir, con un bajonazo increible... 
Chapeau por las dos. 
Que no tiraron la toalla en ningún momento#conquis4ETB",twitter.com/anezarandona/status/1889733267349258560#m
@SURCARPINIANO,twitter.com/SURCARPINIANO,Que duelazo se ha marcado Pati 👏👏👏👏👏👏👏#Conquis4ETB,twitter.com/SURCARPINIANO/status/1889732199752102224#m
@pitufloris,twitter.com/pitufloris,"Pipi acaba de soltar un LA DIJE….no me acordaba q era de Sanse hasta que ha dicho esto, marca de la casa!!! 🤣🤣🤣🤣🤣#Conquis4ETB",twitter.com/pitufloris/status/1889464954824085653#m
@pitufloris,twitter.com/pitufloris,"Vaya duelazo tan currado jabatas!!!! Grandes las dos, bien orgullosa tienes q estar Pipi!!!!!!!! Zorionak Pati!!! ♥️#Conquis4ETB",twitter.com/pitufloris/status/1889463124673053106#m
@haeradhel,twitter.com/haeradhel,"Capítulo terminado. Qué locura de duelo.
Me daba pena que se fuera cualquiera pero prefería que se quedase Pati antes que Pipi. Y hasta el final nos han tenido aguantando la respiración.
El duelo más emocionante de lo que va de edición. Chapeau#conquis4ETB",twitter.com/haeradhel/status/1889457413805277222#m
@pitufloris,twitter.com/pitufloris,"La semana pasada igual, ¿por qué ponéis en duda el que alguien se medio ofrezca por ir a duelo? Y esas amenazas al acompañante????#Conquis4ETB",twitter.com/pitufloris/status/1889455246067610006#m
@Ms_Ocho,twitter.com/Ms_Ocho,Uff patri que puta luchadora#conquis4ETB,twitter.com/Ms_Ocho/status/1889454396376809876#m
@pitufloris,twitter.com/pitufloris,Elazar otro que me sobra…le calé desde el primer día…#conquis4ETB,twitter.com/pitufloris/status/1889443207483891824#m
@Argi_txu,twitter.com/Argi_txu,Los amarillos no hacen más que perder pero no se va ninguno 😂#CONQUIS4ETB,twitter.com/Argi_txu/status/1889439807383982358#m
@Argi_txu,twitter.com/Argi_txu,"Muy buena Pati!! Y el ayudante rojo muy mal, en vez de animar estresaba. Emocionante duelo (aunque los últimos ""10 minutos"" han sido como los de la lavadora 😂)#CONQUIS4ETB",twitter.com/Argi_txu/status/1889439278389731539#m
N/A,N/A,N/A,N/A
@pitufloris,twitter.com/pitufloris,Llevan 4 días y a una guaban se le está haciendo largo!!!! Pues verás a nosotros en Junio!🤣🤣🤣🤣🤣🤣🤣🤣#conquis4ETB,twitter.com/pitufloris/status/1889437735305486828#m
@kepanet,twitter.com/kepanet,"Visto el duelo de ayer#conquis4ETBQue bien pati, me alegro mucho, que bien lo ha peleado :)",twitter.com/kepanet/status/1889433788670963762#m
@pasro992,twitter.com/pasro992,"Los capitanes que veremos muy pronto serán Gorka Ibarguren, Joana Flaviano y…😏#conquis4ETB",twitter.com/pasro992/status/1889430390642798686#m
@pitufloris,twitter.com/pitufloris,Pero que son esos vestidos de gala de Lur????? Por dios que vuelva TERNUA!#Conquis4ETB,twitter.com/pitufloris/status/1889430111533076539#m
@pitufloris,twitter.com/pitufloris,"Tienen que llevar el mostrenco ese de la figura de equipo a to los laos????????si ya era coñazo llevar el estandarte, esto es una tortura!!!#Conquis4ETB",twitter.com/pitufloris/status/1889429921258258774#m
@grima_bi,twitter.com/grima_bi,"Acabo de ver el duelo. Desde ahora mismo me declaro ""FanPati"" perpetuo.  Que actitud, que saber estar, que coraje... Realista, sin tapujos y sin miedo. Me ha ganado la txikita.#conquis4etb",twitter.com/grima_bi/status/1889426956485378249#m
@amadri22,twitter.com/amadri22,Patri luchadora de 10! Súper merecido tu banderín#conquis4ETB,twitter.com/amadri22/status/1889426212042203158#m
@pitufloris,twitter.com/pitufloris,"Pues veo un error que el capitán de un concursante y sobretodo q vayan rotando. Lo primero por la inmunidad, y lo segundo porque es un marrón para gente inexperta..no es lo mismo q tengas ex-partis que saben a dónde van…#Conquis4ETB",twitter.com/pitufloris/status/1889425974443257991#m
@pitufloris,twitter.com/pitufloris,Vaya TURRAS que es Jime!!! Es el típico q quiere ganar siempre la discusión y te  brasea hasta q le tienes q dar la razón solo para q se  calle#Conquis4ETB,twitter.com/pitufloris/status/1889424823165534294#m
@pitufloris,twitter.com/pitufloris,Jime y Félix me sobran soberanamente#Conquis4ETB,twitter.com/pitufloris/status/1889423534797234202#m
@BEA_triu7,twitter.com/BEA_triu7,¿¡¿¡PERO Y ESTE FINAL!?!? PATI TE ADOROOOOOOOO!!!#conquis4ETB,twitter.com/BEA_triu7/status/1889406876623970679#m
@BEA_triu7,twitter.com/BEA_triu7,"NO TIO, PATY NOO 😔😮‍💨#conquis4ETB",twitter.com/BEA_triu7/status/1889400540548792615#m
@BEA_triu7,twitter.com/BEA_triu7,La Ratxel tiene un discurso muy empoderado pero me da a mi que no se cree nada de lo que se dice. Noto pura inseguridad en ella.#conquis4ETB,twitter.com/BEA_triu7/status/1889400320788230243#m
@BEA_triu7,twitter.com/BEA_triu7,Que maja Pati.#conquis4etb,twitter.com/BEA_triu7/status/1889397292488089680#m
@BEA_triu7,twitter.com/BEA_triu7,"El primer dia me cayeron bien Ealazar y el hermano fugado.

Siempre eligiendo bien a los hombres desde tiempos inmemoriales (ironia).#conquis4etb",twitter.com/BEA_triu7/status/1889394574902305152#m
@BEA_triu7,twitter.com/BEA_triu7,"Engancho donde lo dejé ayer (Aratz nominado) y sin publi...y a contrareloj, que hay champions.#conquis4ETB",twitter.com/BEA_triu7/status/1889393521104130221#m
@DanielSugimura,twitter.com/DanielSugimura,"🔵

1. Chivite
2. Leyre
3. Isra
4. Allen
5. Carra
6. Ainhoa
7. Koty
8. Félix
9. Elazar
10. Jime
11. La facha#conquis4ETB",twitter.com/DanielSugimura/status/1889377796360667205#m
@DanielSugimura,twitter.com/DanielSugimura,"🔴

1. Ari
2. Alex
3. Nakiharita
4. Saioa
5. Sebas
6. Famo
7. Xego
8. Unai
9. La Ratxel
10. El Killo
11. Marcela#conquis4ETB",twitter.com/DanielSugimura/status/1889377479380574232#m
@DanielSugimura,twitter.com/DanielSugimura,"Mi ranking de preferidos (por equipos) [Capítulo 4]

🟡 

1. Hippie
2. Jontxu
3. Filete
4. Pati
5. Santa
6. Lorea
7. Ekhi
8. Maider
9. Aratz
10. Iradi#CONQUIS4ETB",twitter.com/DanielSugimura/status/1889377327366414401#m
@Oscarmnndz,twitter.com/Oscarmnndz,"Los amarillos 2 juegos perdidos.
4 a duelo 💛 vuelen los 4
1 a duelo ❤️ para casa 
1 a duelo 💙 para casa#Conquis4ETB",twitter.com/Oscarmnndz/status/1889372428041634238#m
